university_year,total_score
University of Illinois at Urbana-Champaign 2008,42.9
"The Imperial College of Science, Technology and Medicine 2007",43.0
The University of Tokyo 2013,43.0
University College London 2013,43.0
University of Toronto 2007,43.0
Kyoto University 2007,43.1
Kyoto University 2010,43.1
Swiss Federal Institute of Technology Zurich 2008,43.1
University of Toronto 2005,43.1
University of Toronto 2008,43.1
Swiss Federal Institute of Technology Zurich 2011,43.2
The University of Tokyo 2014,43.2
Swiss Federal Institute of Technology Zurich 2012,43.3
University College London 2014,43.3
Swiss Federal Institute of Technology Zurich 2010,43.4
"The Imperial College of Science, Technology and Medicine 2006",43.4
University of Michigan - Ann Arbor 2012,43.4
Kyoto University 2008,43.5
Swiss Federal Institute of Technology Zurich 2013,43.5
Swiss Federal Institute of Technology Zurich 2009,43.6
Swiss Federal Institute of Technology Zurich 2015,43.7
"The Imperial College of Science, Technology and Medicine 2005",43.7
University College London 2012,43.7
Kyoto University 2005,43.8
The University of Tokyo 2012,43.8
University of Michigan - Ann Arbor 2009,43.8
Kyoto University 2006,43.9
Swiss Federal Institute of Technology Zurich 2014,43.9
University College London 2008,44.0
University of Michigan - Ann Arbor 2007,44.0
University of Michigan - Ann Arbor 2011,44.1
University of Michigan - Ann Arbor 2008,44.2
University of Michigan - Ann Arbor 2010,44.2
University College London 2010,44.4
University College London 2015,44.5
"University of California, San Francisco 2015",44.5
University of Michigan - Ann Arbor 2006,44.5
The University of Tokyo 2011,44.6
University College London 2009,44.6
University College London 2011,44.8
University of Michigan - Ann Arbor 2005,44.9
University of Wisconsin - Madison 2013,44.9
The University of Tokyo 2009,45.1
The Johns Hopkins University 2009,45.2
"University of California, San Francisco 2014",45.2
University of Wisconsin - Madison 2012,45.4
The Johns Hopkins University 2008,45.5
University of Wisconsin - Madison 2011,45.6
The Johns Hopkins University 2011,45.9
The University of Tokyo 2007,45.9
The University of Tokyo 2010,45.9
"University of California, San Francisco 2009",45.9
The Johns Hopkins University 2010,46.0
"University of California, San Francisco 2010",46.0
The Johns Hopkins University 2007,46.1
University of Pennsylvania 2015,46.1
"University of California, San Francisco 2013",46.2
Johns Hopkins University 2015,46.3
The University of Tokyo 2008,46.4
University of Wisconsin - Madison 2010,46.4
The Johns Hopkins University 2006,46.6
"University of California, San Francisco 2008",46.6
"University of California, San Francisco 2012",46.6
The University of Tokyo 2005,46.7
The University of Tokyo 2006,46.7
"University of California, San Francisco 2011",46.7
University of Wisconsin - Madison 2009,46.7
"University of California, San Francisco 2007",46.8
The Johns Hopkins University 2005,46.9
The Johns Hopkins University 2013,46.9
The Johns Hopkins University 2014,47.0
University of Pennsylvania 2014,47.1
The Johns Hopkins University 2012,47.4
University of Wisconsin - Madison 2008,47.4
"University of California, San Francisco 2006",47.7
"University of California, San Francisco 2005",47.8
University of Washington 2015,47.8
University of Washington 2009,48.0
University of Wisconsin - Madison 2007,48.0
University of Washington 2014,48.1
University of Washington 2007,48.2
University of Washington 2008,48.3
University of Washington 2013,48.3
University of Washington 2005,48.4
University of Washington 2012,48.4
University of Washington 2006,48.5
"University of California, San Diego 2015",48.7
University of Washington 2010,48.7
University of Washington 2011,48.8
University of Wisconsin - Madison 2006,48.8
University of Pennsylvania 2007,49.0
University of Pennsylvania 2008,49.0
University of Pennsylvania 2010,49.0
University of Wisconsin - Madison 2005,49.2
"University of California, San Diego 2014",49.3
University of Pennsylvania 2009,49.3
"University of California, San Diego 2011",49.5
"University of California, San Diego 2012",49.6
University of Pennsylvania 2013,49.6
"University of California, San Diego 2013",49.9
Cornell University 2013,50.0
"University of California, San Diego 2010",50.0
University of Pennsylvania 2006,50.1
University of Pennsylvania 2005,50.2
"University of California, San Diego 2008",50.3
"University of California, Los Angeles 2006",50.4
"University of California, San Diego 2007",50.4
University of Pennsylvania 2011,50.4
Cornell University 2015,50.5
"University of California, San Diego 2006",50.5
University of Pennsylvania 2012,50.5
Cornell University 2014,50.6
"University of California, Los Angeles 2005",50.6
"University of California, Los Angeles 2015",50.7
"University of California, San Diego 2009",50.7
Cornell University 2012,50.8
"University of California, San Diego 2005",51.0
Cornell University 2011,51.5
"University of California, Los Angeles 2014",51.9
"University of California, Los Angeles 2010",52.2
"University of California, Los Angeles 2012",52.2
"University of California, Los Angeles 2009",52.3
"University of California, Los Angeles 2008",52.4
Cornell University 2010,52.6
"University of California, Los Angeles 2007",52.6
"University of California, Los Angeles 2013",52.9
"University of California, Los Angeles 2011",53.0
Cornell University 2009,53.1
Cornell University 2006,54.1
Cornell University 2008,54.1
Cornell University 2007,54.3
Yale University 2015,54.5
Cornell University 2005,54.6
Yale University 2010,54.6
Yale University 2011,54.8
Yale University 2012,54.8
Yale University 2008,54.9
Yale University 2009,55.2
Yale University 2014,55.2
Yale University 2013,55.4
University of Oxford 2013,55.9
Yale University 2006,55.9
Yale University 2007,55.9
University of Oxford 2012,56.1
University of Oxford 2009,56.3
University of Oxford 2007,56.4
University of Oxford 2010,56.4
University of Oxford 2011,56.4
University of Oxford 2015,56.6
University of Oxford 2008,56.8
Yale University 2005,56.9
University of Chicago 2009,57.0
University of Chicago 2008,57.1
University of Chicago 2013,57.1
University of Chicago 2015,57.1
University of Chicago 2012,57.2
University of Chicago 2010,57.3
University of Chicago 2014,57.4
University of Oxford 2014,57.4
University of Chicago 2011,57.5
University of Oxford 2006,57.6
University of Chicago 2007,58.4
Princeton University 2006,58.6
University of Chicago 2006,58.6
Columbia University 2015,58.8
Princeton University 2008,58.9
Princeton University 2007,59.5
California Institute of Technology 2015,59.6
Columbia University 2014,59.6
University of Oxford 2005,59.7
Columbia University 2013,59.8
Columbia University 2012,60.1
University of Chicago 2005,60.1
Princeton University 2009,60.2
Columbia University 2010,60.4
Columbia University 2011,60.4
California Institute of Technology 2014,60.5
Princeton University 2014,60.7
Princeton University 2010,60.8
Princeton University 2005,60.9
Princeton University 2015,61.0
Princeton University 2011,61.2
Columbia University 2009,61.7
Columbia University 2006,61.8
Princeton University 2013,61.9
Princeton University 2012,62.1
Columbia University 2005,62.3
Columbia University 2008,62.5
California Institute of Technology 2013,62.9
Columbia University 2007,63.2
California Institute of Technology 2012,64.1
California Institute of Technology 2010,64.4
California Institute of Technology 2011,64.7
California Institute of Technology 2009,64.8
California Institute of Technology 2008,65.4
California Institute of Technology 2006,66.0
California Institute of Technology 2007,66.4
California Institute of Technology 2005,67.1
University of Cambridge 2015,68.8
University of Cambridge 2014,69.2
Massachusetts Institute of Technology (MIT) 2009,69.5
Massachusetts Institute of Technology (MIT) 2008,69.6
"University of California, Berkeley 2015",69.6
University of Cambridge 2010,69.6
University of Cambridge 2013,69.6
Massachusetts Institute of Technology (MIT) 2006,69.7
University of Cambridge 2012,69.8
Massachusetts Institute of Technology (MIT) 2007,70.0
University of Cambridge 2011,70.0
Massachusetts Institute of Technology (MIT) 2005,70.1
University of California-Berkeley 2014,70.1
University of Cambridge 2009,70.2
Massachusetts Institute of Technology (MIT) 2015,70.4
University of Cambridge 2008,70.4
Massachusetts Institute of Technology (MIT) 2014,70.5
"University of California, Berkeley 2009",71.0
Massachusetts Institute of Technology (MIT) 2013,71.1
"University of California, Berkeley 2013",71.3
Massachusetts Institute of Technology (MIT) 2010,71.4
"University of California, Berkeley 2008",71.4
"University of California, Berkeley 2012",71.6
University of Cambridge 2007,71.6
Massachusetts Institute of Technology (MIT) 2012,71.8
"University of California, Berkeley 2007",71.9
"University of California, Berkeley 2011",71.9
Massachusetts Institute of Technology (MIT) 2011,72.0
Stanford University 2010,72.1
Stanford University 2014,72.1
"University of California, Berkeley 2006",72.1
"University of California, Berkeley 2010",72.4
Stanford University 2006,72.5
Stanford University 2011,72.6
Stanford University 2013,72.6
University of Cambridge 2006,72.6
Stanford University 2012,72.8
"University of California, Berkeley 2005",72.8
Stanford University 2009,73.1
Stanford University 2015,73.3
Stanford University 2005,73.4
University of Cambridge 2005,73.6
Stanford University 2007,73.7
Stanford University 2008,73.7
Harvard University 2005,100.0
Harvard University 2006,100.0
Harvard University 2007,100.0
Harvard University 2008,100.0
Harvard University 2009,100.0
Harvard University 2010,100.0
Harvard University 2011,100.0
Harvard University 2012,100.0
Harvard University 2013,100.0
Harvard University 2014,100.0
Harvard University 2015,100.0
Aalborg University 2014,
Aalborg University 2015,
Aalto University 2005,
Aalto University 2006,
Aalto University 2007,
Aalto University 2008,
Aalto University 2010,
Aalto University 2014,
Aalto University 2015,
Aarhus University 2005,
Aarhus University 2006,
Aarhus University 2007,
Aix Marseille University 2012,
Aix Marseille University 2014,
Aix Marseille University 2015,
Aix-Marseille University 2011,
Aristotle University of Thessaloniki 2005,
Aristotle University of Thessaloniki 2006,
Aristotle University of Thessaloniki 2007,
Aristotle University of Thessaloniki 2008,
Aristotle University of Thessaloniki 2009,
Aristotle University of Thessaloniki 2010,
Aristotle University of Thessaloniki 2011,
Aristotle University of Thessaloniki 2014,
Aristotle University of Thessaloniki 2015,
Arizona State University - Tempe 2005,
Auburn University 2005,
Auburn University 2006,
Auburn University 2007,
Auburn University 2008,
Auburn University 2009,
Auburn University 2010,
Auburn University 2011,
Auburn University 2014,
Auburn University 2015,
Autonomous University of Barcelona 2005,
Autonomous University of Barcelona 2006,
Autonomous University of Barcelona 2007,
Autonomous University of Barcelona 2008,
Autonomous University of Barcelona 2009,
Autonomous University of Barcelona 2010,
Autonomous University of Barcelona 2011,
Autonomous University of Barcelona 2014,
Autonomous University of Barcelona 2015,
Autonomous University of Madrid 2005,
Autonomous University of Madrid 2006,
Autonomous University of Madrid 2007,
Autonomous University of Madrid 2008,
Autonomous University of Madrid 2009,
Autonomous University of Madrid 2010,
Autonomous University of Madrid 2011,
Autonomous University of Madrid 2012,
Autonomous University of Madrid 2014,
Autonomous University of Madrid 2015,
Bangor University 2006,
Bar-Ilan University 2005,
Bar-Ilan University 2006,
Bar-Ilan University 2007,
Bar-Ilan University 2008,
Bar-Ilan University 2009,
Bar-Ilan University 2010,
Bar-Ilan University 2011,
Bar-Ilan University 2014,
Bar-Ilan University 2015,
Baylor College of Medicine 2005,
Baylor College of Medicine 2006,
Baylor College of Medicine 2007,
Baylor College of Medicine 2008,
Baylor College of Medicine 2009,
Baylor College of Medicine 2010,
Baylor College of Medicine 2011,
Baylor College of Medicine 2012,
Baylor College of Medicine 2014,
Baylor College of Medicine 2015,
Beihang University 2014,
Beihang University 2015,
Beijing Normal University 2011,
Beijing Normal University 2014,
Beijing Normal University 2015,
Beijing University of Aeronautics and Astronautics 2011,
Ben-Gurion University of the Negev 2005,
Ben-Gurion University of the Negev 2006,
Ben-Gurion University of the Negev 2007,
Ben-Gurion University of the Negev 2008,
Ben-Gurion University of the Negev 2009,
Ben-Gurion University of the Negev 2010,
Ben-Gurion University of the Negev 2011,
Ben-Gurion University of the Negev 2014,
Ben-Gurion University of the Negev 2015,
Bielefeld University 2014,
Bielefeld University 2015,
"Birkbeck, University of London 2007",
Boston College 2005,
Boston College 2006,
Boston College 2007,
Boston College 2008,
Boston College 2009,
Boston College 2010,
Boston College 2011,
Boston College 2014,
Boston College 2015,
Brandeis University 2005,
Brandeis University 2006,
Brandeis University 2007,
Brandeis University 2008,
Brandeis University 2009,
Brandeis University 2010,
Brandeis University 2011,
Brandeis University 2012,
Brandeis University 2014,
Brandeis University 2015,
Brigham Young University 2005,
Brigham Young University 2006,
Brigham Young University 2007,
Brigham Young University 2008,
Brigham Young University 2009,
Brigham Young University 2010,
Brigham Young University 2011,
Brigham Young University 2014,
Brigham Young University 2015,
Brunel University 2006,
Brunel University 2007,
Brunel University 2008,
Brunel University 2009,
Brunel University 2010,
Brunel University 2014,
Brunel University 2015,
Cairo University 2006,
Cairo University 2007,
Cairo University 2011,
Cairo University 2014,
Cairo University 2015,
Capital Medical University 2015,
Capital University of Medical Sciences 2014,
Cardiff University 2005,
Cardiff University 2006,
Cardiff University 2007,
Cardiff University 2008,
Cardiff University 2009,
Cardiff University 2010,
Cardiff University 2011,
Cardiff University 2012,
Cardiff University 2014,
Cardiff University 2015,
Carleton University 2005,
Carleton University 2006,
Carleton University 2007,
Carleton University 2008,
Carleton University 2009,
Carleton University 2010,
Carleton University 2011,
Carleton University 2014,
Carleton University 2015,
Case Western Reserve University 2014,
Case Western Reserve University 2015,
Catholic University of Chile 2007,
Catholic University of Chile 2008,
Catholic University of Chile 2009,
Catholic University of Chile 2010,
Catholic University of Chile 2011,
Catholic University of Chile 2014,
Catholic University of Chile 2015,
Catholic University of Korea 2014,
Catholic University of Korea 2015,
Catholic University of Leuven 2005,
Catholic University of Leuven 2006,
Catholic University of Leuven 2007,
Catholic University of Leuven 2008,
Catholic University of Leuven 2009,
Catholic University of Leuven 2010,
Catholic University of Leuven 2011,
Catholic University of Leuven 2012,
Catholic University of Louvain 2005,
Catholic University of Louvain 2006,
Catholic University of Louvain 2007,
Catholic University of Louvain 2008,
Catholic University of Louvain 2009,
Catholic University of Louvain 2010,
Catholic University of Louvain 2011,
Catholic University of Louvain 2012,
Catholic University of Louvain 2014,
Catholic University of Louvain 2015,
Catholic University of the Sacred Heart 2008,
Catholic University of the Sacred Heart 2009,
Catholic University of the Sacred Heart 2010,
Catholic University of the Sacred Heart 2011,
Catholic University of the Sacred Heart 2014,
Catholic University of the Sacred Heart 2015,
Central South University 2014,
Central South University 2015,
Chalmers University of Technology 2005,
Chalmers University of Technology 2006,
Chalmers University of Technology 2007,
Chalmers University of Technology 2008,
Chalmers University of Technology 2009,
Chalmers University of Technology 2010,
Chalmers University of Technology 2011,
Chalmers University of Technology 2014,
Chalmers University of Technology 2015,
Chang Gung University 2008,
Chang Gung University 2009,
Chang Gung University 2010,
Chang Gung University 2011,
Chang Gung University 2014,
Chang Gung University 2015,
Charles University in Prague 2005,
Charles University in Prague 2006,
Charles University in Prague 2007,
Charles University in Prague 2008,
Charles University in Prague 2009,
Charles University in Prague 2010,
Charles University in Prague 2011,
Charles University in Prague 2012,
Charles University in Prague 2014,
Charles University in Prague 2015,
Chiba University 2005,
Chiba University 2006,
Chiba University 2007,
Chiba University 2008,
Chiba University 2009,
Chiba University 2010,
Chiba University 2011,
Chiba University 2014,
Chiba University 2015,
China Agricultural University 2007,
China Agricultural University 2008,
China Agricultural University 2009,
China Agricultural University 2010,
China Agricultural University 2011,
China Agricultural University 2014,
China Agricultural University 2015,
China Medical University 2015,
Chungnam National University 2011,
City University of Hong Kong 2005,
City University of Hong Kong 2006,
City University of Hong Kong 2007,
City University of Hong Kong 2008,
City University of Hong Kong 2009,
City University of Hong Kong 2010,
City University of Hong Kong 2011,
City University of Hong Kong 2012,
City University of Hong Kong 2014,
City University of Hong Kong 2015,
City University of New York City College 2005,
City University of New York City College 2006,
City University of New York City College 2007,
City University of New York City College 2008,
City University of New York City College 2009,
City University of New York City College 2010,
City University of New York City College 2011,
City University of New York City College 2014,
City University of New York City College 2015,
Claude Bernard University Lyon 1 2005,
Claude Bernard University Lyon 1 2006,
Claude Bernard University Lyon 1 2007,
Claude Bernard University Lyon 1 2008,
Claude Bernard University Lyon 1 2009,
Claude Bernard University Lyon 1 2010,
Claude Bernard University Lyon 1 2011,
Claude Bernard University Lyon 1 2012,
Claude Bernard University Lyon 1 2014,
Claude Bernard University Lyon 1 2015,
Clemson University 2005,
Clemson University 2006,
Clemson University 2007,
Clemson University 2008,
Clemson University 2009,
Clemson University 2010,
Clemson University 2011,
Clemson University 2014,
Clemson University 2015,
College of France 2005,
Colorado State University 2005,
Colorado State University 2006,
Colorado State University 2007,
Colorado State University 2008,
Colorado State University 2009,
Colorado State University 2010,
Colorado State University 2011,
Colorado State University 2012,
Colorado State University 2014,
Colorado State University 2015,
Complutense University of Madrid 2005,
Complutense University of Madrid 2006,
Complutense University of Madrid 2007,
Complutense University of Madrid 2008,
Complutense University of Madrid 2009,
Complutense University of Madrid 2010,
Complutense University of Madrid 2011,
Complutense University of Madrid 2012,
Complutense University of Madrid 2014,
Complutense University of Madrid 2015,
Concordia University 2010,
Cranfield University 2008,
Curtin University 2014,
Curtin University 2015,
Curtin University of Technology 2009,
Curtin University of Technology 2010,
Curtin University of Technology 2011,
Dalhousie University 2005,
Dalhousie University 2006,
Dalhousie University 2007,
Dalhousie University 2008,
Dalhousie University 2009,
Dalhousie University 2010,
Dalhousie University 2011,
Dalhousie University 2012,
Dalhousie University 2014,
Dalhousie University 2015,
Dalian University of Technology 2008,
Dalian University of Technology 2009,
Dalian University of Technology 2010,
Dalian University of Technology 2011,
Dalian University of Technology 2014,
Dalian University of Technology 2015,
Dartmouth College 2005,
Dartmouth College 2006,
Dartmouth College 2007,
Dartmouth College 2008,
Dartmouth College 2009,
Dartmouth College 2010,
Dartmouth College 2011,
Dartmouth College 2012,
Dartmouth College 2014,
Dartmouth College 2015,
Deakin University 2014,
Deakin University 2015,
Delft University of Technology 2005,
Delft University of Technology 2006,
Delft University of Technology 2007,
Delft University of Technology 2008,
Delft University of Technology 2009,
Delft University of Technology 2010,
Delft University of Technology 2011,
Delft University of Technology 2012,
Delft University of Technology 2014,
Delft University of Technology 2015,
Dresden University of Technology 2005,
Dresden University of Technology 2006,
Dresden University of Technology 2007,
Dresden University of Technology 2008,
Dresden University of Technology 2009,
Dresden University of Technology 2010,
Dresden University of Technology 2011,
Dresden University of Technology 2012,
Drexel University 2005,
Drexel University 2006,
Drexel University 2007,
Drexel University 2008,
Drexel University 2009,
Drexel University 2010,
Drexel University 2011,
Drexel University 2014,
Drexel University 2015,
Durham University 2014,
Durham University 2015,
ESPCI ParisTech 2014,
ESPCI ParisTech 2015,
East China University of Science and Technology 2014,
East China University of Science and Technology 2015,
Ecole National Superieure Mines - Paris 2005,
Ecole National Superieure Mines - Paris 2006,
Ecole National Superieure Mines - Paris 2007,
Ecole National Superieure Mines - Paris 2008,
Ecole National Superieure Mines - Paris 2009,
Ecole National Superieure Mines - Paris 2010,
Ecole National Superieure Mines - Paris 2011,
Ecole Normale Superieure - Lyon 2005,
Ecole Normale Superieure - Lyon 2006,
Ecole Normale Superieure - Lyon 2007,
Ecole Normale Superieure - Lyon 2008,
Ecole Normale Superieure - Lyon 2009,
Ecole Normale Superieure - Lyon 2010,
Ecole Normale Superieure - Lyon 2011,
Ecole Normale Superieure - Lyon 2014,
Ecole Normale Superieure - Lyon 2015,
Ecole Polytechnique 2005,
Ecole Polytechnique 2006,
Ecole Polytechnique 2007,
Ecole Polytechnique 2008,
Ecole Polytechnique 2009,
Ecole Polytechnique 2010,
Ecole Polytechnique 2011,
Ecole Polytechnique 2014,
Ecole Polytechnique 2015,
Ehime University 2005,
Ehime University 2006,
Ehime University 2007,
Ehime University 2008,
Ehime University 2009,
Eindhoven University of Technology 2005,
Eindhoven University of Technology 2006,
Eindhoven University of Technology 2007,
Eindhoven University of Technology 2008,
Eindhoven University of Technology 2009,
Eindhoven University of Technology 2010,
Eindhoven University of Technology 2011,
Eindhoven University of Technology 2014,
Eindhoven University of Technology 2015,
Emory University 2005,
Emory University 2006,
Emory University 2007,
Emory University 2008,
Emory University 2010,
Emory University 2011,
Emory University 2012,
Emory University 2014,
Emory University 2015,
Eotvos Lorand University 2005,
Eotvos Lorand University 2006,
Eotvos Lorand University 2007,
Eotvos Lorand University 2008,
Eotvos Lorand University 2009,
Eotvos Lorand University 2010,
Eotvos Lorand University 2011,
Eotvos Lorand University 2014,
Eotvos Lorand University 2015,
Erasmus University 2005,
Erasmus University 2006,
Erasmus University 2007,
Erasmus University 2008,
Erasmus University 2009,
Erasmus University 2010,
Erasmus University 2011,
Erasmus University 2012,
Erasmus University 2014,
Erasmus University 2015,
Ewha Womans University 2014,
Ewha Womans University 2015,
Federal University of Minas Gerais 2007,
Federal University of Minas Gerais 2008,
Federal University of Minas Gerais 2009,
Federal University of Minas Gerais 2010,
Federal University of Minas Gerais 2011,
Federal University of Minas Gerais 2014,
Federal University of Minas Gerais 2015,
Federal University of Rio Grande do Sul 2008,
Federal University of Rio Grande do Sul 2009,
Federal University of Rio Grande do Sul 2010,
Federal University of Rio Grande do Sul 2011,
Federal University of Rio Grande do Sul 2014,
Federal University of Rio Grande do Sul 2015,
Federal University of Rio de Janeiro 2005,
Federal University of Rio de Janeiro 2006,
Federal University of Rio de Janeiro 2007,
Federal University of Rio de Janeiro 2008,
Federal University of Rio de Janeiro 2009,
Federal University of Rio de Janeiro 2010,
Federal University of Rio de Janeiro 2011,
Federal University of Rio de Janeiro 2014,
Federal University of Rio de Janeiro 2015,
Federal University of Sao Paulo 2011,
Flinders University 2005,
Flinders University 2006,
Flinders University 2007,
Flinders University 2008,
Flinders University 2009,
Flinders University 2010,
Flinders University 2011,
Flinders University 2014,
Flinders University 2015,
Florida International University 2005,
Florida International University 2007,
Florida International University 2015,
Florida State University 2005,
Florida State University 2006,
Florida State University 2007,
Florida State University 2008,
Florida State University 2009,
Florida State University 2010,
Florida State University 2011,
Florida State University 2012,
Florida State University 2014,
Florida State University 2015,
Fudan University 2005,
Fudan University 2006,
Fudan University 2007,
Fudan University 2008,
Fudan University 2009,
Fudan University 2010,
Fudan University 2011,
Fudan University 2012,
Fudan University 2014,
Fudan University 2015,
George Mason University 2005,
George Mason University 2006,
George Mason University 2007,
George Mason University 2008,
George Mason University 2009,
George Mason University 2010,
George Mason University 2011,
George Mason University 2012,
George Mason University 2014,
George Mason University 2015,
Georgetown University 2005,
Georgetown University 2006,
Georgetown University 2007,
Georgetown University 2008,
Georgetown University 2009,
Georgetown University 2010,
Georgetown University 2011,
Georgetown University 2014,
Georgetown University 2015,
Georgia Institute of Technology 2005,
Georgia Institute of Technology 2006,
Georgia Institute of Technology 2007,
Georgia Institute of Technology 2008,
Georgia Institute of Technology 2009,
Georgia Institute of Technology 2010,
Georgia Institute of Technology 2011,
Georgia Institute of Technology 2012,
Georgia Institute of Technology 2015,
Ghent University 2005,
Ghent University 2006,
Ghent University 2007,
Ghent University 2008,
Ghent University 2009,
Gifu University 2005,
Gifu University 2006,
Gifu University 2007,
Gifu University 2008,
Gifu University 2009,
Griffith University 2011,
Griffith University 2014,
Griffith University 2015,
Gunma University 2005,
Gunma University 2006,
Gunma University 2007,
Gunma University 2008,
Gunma University 2009,
Gunma University 2010,
Hacettepe University 2005,
Hannover Medical School 2005,
Hannover Medical School 2006,
Hannover Medical School 2007,
Hannover Medical School 2008,
Hannover Medical School 2009,
Hannover Medical School 2010,
Hannover Medical School 2011,
Hannover Medical School 2014,
Hannover Medical School 2015,
Hanyang University 2005,
Hanyang University 2006,
Hanyang University 2007,
Hanyang University 2008,
Hanyang University 2009,
Hanyang University 2010,
Hanyang University 2011,
Hanyang University 2014,
Hanyang University 2015,
Harbin Institute of Technology 2008,
Harbin Institute of Technology 2009,
Harbin Institute of Technology 2010,
Harbin Institute of Technology 2011,
Harbin Institute of Technology 2014,
Harbin Institute of Technology 2015,
Henri Poincare University (Nancy 1) 2005,
Henri Poincare University (Nancy 1) 2006,
Henri Poincare University (Nancy 1) 2007,
Henri Poincare University (Nancy 1) 2008,
Henri Poincare University (Nancy 1) 2009,
Henri Poincare University (Nancy 1) 2010,
Hiroshima University 2005,
Hiroshima University 2006,
Hiroshima University 2007,
Hiroshima University 2008,
Hiroshima University 2009,
Hiroshima University 2010,
Hiroshima University 2011,
Hiroshima University 2014,
Hiroshima University 2015,
Hokkaido University 2005,
Hokkaido University 2006,
Hokkaido University 2007,
Hokkaido University 2008,
Hokkaido University 2009,
Hokkaido University 2010,
Hokkaido University 2011,
Hokkaido University 2012,
Hokkaido University 2014,
Hokkaido University 2015,
Howard University 2005,
Howard University 2006,
Howard University 2007,
Huazhong University of Science and Technology 2008,
Huazhong University of Science and Technology 2009,
Huazhong University of Science and Technology 2010,
Huazhong University of Science and Technology 2011,
Huazhong University of Science and Technology 2014,
Huazhong University of Science and Technology 2015,
Icahn School of Medicine at Mount Sinai 2014,
Icahn School of Medicine at Mount Sinai 2015,
Indian Institute of Science 2005,
Indian Institute of Science 2006,
Indian Institute of Science 2007,
Indian Institute of Science 2008,
Indian Institute of Science 2009,
Indian Institute of Science 2010,
Indian Institute of Science 2011,
Indian Institute of Science 2014,
Indian Institute of Science 2015,
Indian Institute of Technology Kharagpur 2005,
Indian Institute of Technology Kharagpur 2006,
Indian Institute of Technology Kharagpur 2007,
Indian Institute of Technology Kharagpur 2008,
Indian Institute of Technology Kharagpur 2009,
Indian Institute of Technology Kharagpur 2010,
Indiana University Bloomington 2014,
Indiana University Bloomington 2015,
Indiana University-Purdue University at Indianapolis 2005,
Indiana University-Purdue University at Indianapolis 2006,
Indiana University-Purdue University at Indianapolis 2007,
Indiana University-Purdue University at Indianapolis 2008,
Indiana University-Purdue University at Indianapolis 2009,
Indiana University-Purdue University at Indianapolis 2010,
Indiana University-Purdue University at Indianapolis 2011,
Indiana University-Purdue University at Indianapolis 2014,
Indiana University-Purdue University at Indianapolis 2015,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2005,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2006,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2007,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2008,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2009,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2010,
Industrial Physics and Chemistry Higher Educational Institution - Paris 2011,
International School for Advanced Studies 2005,
International School for Advanced Studies 2006,
International School for Advanced Studies 2007,
Iowa State University 2005,
Iowa State University 2006,
Iowa State University 2007,
Iowa State University 2008,
Iowa State University 2009,
Iowa State University 2010,
Iowa State University 2011,
Iowa State University 2012,
Iowa State University 2014,
Iowa State University 2015,
Istanbul University 2005,
Istanbul University 2007,
Istanbul University 2008,
Istanbul University 2009,
Istanbul University 2010,
Istanbul University 2011,
Istanbul University 2014,
Istanbul University 2015,
Jagiellonian University 2005,
Jagiellonian University 2006,
Jagiellonian University 2007,
Jagiellonian University 2008,
Jagiellonian University 2009,
Jagiellonian University 2010,
Jagiellonian University 2011,
Jagiellonian University 2014,
Jagiellonian University 2015,
James Cook University 2006,
James Cook University 2007,
James Cook University 2008,
James Cook University 2009,
James Cook University 2010,
James Cook University 2011,
James Cook University 2014,
James Cook University 2015,
Jilin University 2005,
Jilin University 2006,
Jilin University 2007,
Jilin University 2008,
Jilin University 2009,
Jilin University 2010,
Jilin University 2011,
Jilin University 2014,
Jilin University 2015,
Joseph Fourier University (Grenoble 1) 2005,
Joseph Fourier University (Grenoble 1) 2006,
Joseph Fourier University (Grenoble 1) 2007,
Joseph Fourier University (Grenoble 1) 2008,
Joseph Fourier University (Grenoble 1) 2009,
Joseph Fourier University (Grenoble 1) 2010,
Joseph Fourier University (Grenoble 1) 2011,
Joseph Fourier University (Grenoble 1) 2012,
Joseph Fourier University (Grenoble 1) 2014,
Joseph Fourier University (Grenoble 1) 2015,
Juntendo University 2005,
Juntendo University 2006,
Juntendo University 2007,
KTH Royal Institute of Technology 2015,
Kagoshima University 2005,
Kagoshima University 2006,
Kagoshima University 2007,
Kagoshima University 2008,
Kagoshima University 2009,
Kanazawa University 2005,
Kanazawa University 2006,
Kanazawa University 2007,
Kanazawa University 2008,
Kanazawa University 2009,
Kanazawa University 2010,
Kanazawa University 2011,
Kanazawa University 2014,
Kanazawa University 2015,
Kansas State University 2005,
Kansas State University 2006,
Kansas State University 2007,
Kansas State University 2008,
Kansas State University 2009,
Kansas State University 2010,
Kansas State University 2011,
Kansas State University 2014,
Kansas State University 2015,
Karlsruhe Institute of Technology (KIT) 2011,
Karlsruhe Institute of Technology (KIT) 2012,
Karlsruhe Institute of Technology (KIT) 2014,
Karlsruhe Institute of Technology (KIT) 2015,
Keio University 2005,
Keio University 2006,
Keio University 2007,
Keio University 2008,
Keio University 2009,
Keio University 2010,
Keio University 2011,
Keio University 2014,
Keio University 2015,
Kent State University 2005,
Kent State University 2010,
